T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2013-2014,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2013-2014,9,BAYLOR COUNTY,Grade 10,39
2013-2014,9,BAYLOR COUNTY,Grade 11,39
2013-2014,9,BAYLOR COUNTY,Grade 12,28
2013-2014,2,BEE COUNTY,Early Education,17
2013-2014,2,BEE COUNTY,Pre-kindergarten,168
2013-2014,2,BEE COUNTY,Kindergarten,441
2013-2014,2,BEE COUNTY,Grade  1,461
2013-2014,2,BEE COUNTY,Grade  2,396
2013-2014,2,BEE COUNTY,Grade  3,402
2013-2014,2,BEE COUNTY,Grade  4,386
2013-2014,2,BEE COUNTY,Grade  5,414
2013-2014,2,BEE COUNTY,Grade  6,390
2013-2014,2,BEE COUNTY,Grade  7,417
2013-2014,2,BEE COUNTY,Grade  8,392
2013-2014,2,BEE COUNTY,Grade  9,440
2013-2014,2,BEE COUNTY,Grade 10,347
2013-2014,2,BEE COUNTY,Grade 11,286
2013-2014,2,BEE COUNTY,Grade 12,275
2013-2014,12,BELL COUNTY/12,Early Education,278
2013-2014,12,BELL COUNTY/12,Pre-kindergarten,4188
2013-2014,12,BELL COUNTY/12,Kindergarten,5757
2013-2014,12,BELL COUNTY/12,Grade  1,5941
2013-2014,12,BELL COUNTY/12,Grade  2,5501
2013-2014,12,BELL COUNTY/12,Grade  3,5244
2013-2014,12,BELL COUNTY/12,Grade  4,4957
2013-2014,12,BELL COUNTY/12,Grade  5,4993
2013-2014,12,BELL COUNTY/12,Grade  6,4922
2013-2014,12,BELL COUNTY/12,Grade  7,4858
2013-2014,12,BELL COUNTY/12,Grade  8,4805
2013-2014,12,BELL COUNTY/12,Grade  9,5224
2013-2014,12,BELL COUNTY/12,Grade 10,4353
2013-2014,12,BELL COUNTY/12,Grade 11,3846
2013-2014,12,BELL COUNTY/12,Grade 12,3556
2013-2014,13,BELL COUNTY/13,Pre-kindergarten,37
2013-2014,13,BELL COUNTY/13,Kindergarten,24
2013-2014,13,BELL COUNTY/13,Grade  1,39
2013-2014,13,BELL COUNTY/13,Grade  2,29
2013-2014,13,BELL COUNTY/13,Grade  3,27
2013-2014,13,BELL COUNTY/13,Grade  4,23
2013-2014,13,BELL COUNTY/13,Grade  5,29
2013-2014,13,BELL COUNTY/13,Grade  6,22
2013-2014,13,BELL COUNTY/13,Grade  7,28
2013-2014,13,BELL COUNTY/13,Grade  8,25
2013-2014,13,BELL COUNTY/13,Grade  9,31
2013-2014,13,BELL COUNTY/13,Grade 10,20
2013-2014,13,BELL COUNTY/13,Grade 11,29
2013-2014,13,BELL COUNTY/13,Grade 12,32
2013-2014,AL,BELL COUNTY/ALL,Early Education,278
2013-2014,AL,BELL COUNTY/ALL,Pre-kindergarten,4225
2013-2014,AL,BELL COUNTY/ALL,Kindergarten,5781
2013-2014,AL,BELL COUNTY/ALL,Grade  1,5980
2013-2014,AL,BELL COUNTY/ALL,Grade  2,5530
2013-2014,AL,BELL COUNTY/ALL,Grade  3,5271
2013-2014,AL,BELL COUNTY/ALL,Grade  4,4980
2013-2014,AL,BELL COUNTY/ALL,Grade  5,5022
2013-2014,AL,BELL COUNTY/ALL,Grade  6,4944
2013-2014,AL,BELL COUNTY/ALL,Grade  7,4886
2013-2014,AL,BELL COUNTY/ALL,Grade  8,4830
2013-2014,AL,BELL COUNTY/ALL,Grade  9,5255
2013-2014,AL,BELL COUNTY/ALL,Grade 10,4373
2013-2014,AL,BELL COUNTY/ALL,Grade 11,3875
2013-2014,AL,BELL COUNTY/ALL,Grade 12,3588
2013-2014,20,BEXAR COUNTY,Early Education,1338
2013-2014,20,BEXAR COUNTY,Pre-kindergarten,16945
2013-2014,20,BEXAR COUNTY,Kindergarten,25823
2013-2014,20,BEXAR COUNTY,Grade  1,27279
2013-2014,20,BEXAR COUNTY,Grade  2,26066
2013-2014,20,BEXAR COUNTY,Grade  3,26226
2013-2014,20,BEXAR COUNTY,Grade  4,25782
2013-2014,20,BEXAR COUNTY,Grade  5,25812
2013-2014,20,BEXAR COUNTY,Grade  6,24757
2013-2014,20,BEXAR COUNTY,Grade  7,25497
2013-2014,20,BEXAR COUNTY,Grade  8,25642
2013-2014,20,BEXAR COUNTY,Grade  9,27315
2013-2014,20,BEXAR COUNTY,Grade 10,24183
2013-2014,20,BEXAR COUNTY,Grade 11,21612
2013-2014,20,BEXAR COUNTY,Grade 12,20271
2013-2014,13,BLANCO COUNTY,Early Education,7
2013-2014,13,BLANCO COUNTY,Pre-kindergarten,27
2013-2014,13,BLANCO COUNTY,Kindergarten,113
2013-2014,13,BLANCO COUNTY,Grade  1,125
2013-2014,13,BLANCO COUNTY,Grade  2,125
2013-2014,13,BLANCO COUNTY,Grade  3,138
2013-2014,13,BLANCO COUNTY,Grade  4,131
2013-2014,13,BLANCO COUNTY,Grade  5,103
2013-2014,13,BLANCO COUNTY,Grade  6,134
2013-2014,13,BLANCO COUNTY,Grade  7,127
2013-2014,13,BLANCO COUNTY,Grade  8,144
2013-2014,13,BLANCO COUNTY,Grade  9,151
