T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,13,BELL COUNTY/13,Grade  7,23
2014-2015,13,BELL COUNTY/13,Grade  8,26
2014-2015,13,BELL COUNTY/13,Grade  9,31
2014-2015,13,BELL COUNTY/13,Grade 10,32
2014-2015,13,BELL COUNTY/13,Grade 11,21
2014-2015,13,BELL COUNTY/13,Grade 12,28
2014-2015,AL,BELL COUNTY/ALL,Early Education,272
2014-2015,AL,BELL COUNTY/ALL,Pre-kindergarten,4563
2014-2015,AL,BELL COUNTY/ALL,Kindergarten,5666
2014-2015,AL,BELL COUNTY/ALL,Grade  1,6071
2014-2015,AL,BELL COUNTY/ALL,Grade  2,5753
2014-2015,AL,BELL COUNTY/ALL,Grade  3,5486
2014-2015,AL,BELL COUNTY/ALL,Grade  4,5248
2014-2015,AL,BELL COUNTY/ALL,Grade  5,4957
2014-2015,AL,BELL COUNTY/ALL,Grade  6,5000
2014-2015,AL,BELL COUNTY/ALL,Grade  7,4985
2014-2015,AL,BELL COUNTY/ALL,Grade  8,4899
2014-2015,AL,BELL COUNTY/ALL,Grade  9,5759
2014-2015,AL,BELL COUNTY/ALL,Grade 10,4905
2014-2015,AL,BELL COUNTY/ALL,Grade 11,4487
2014-2015,AL,BELL COUNTY/ALL,Grade 12,4077
2014-2015,20,BEXAR COUNTY,Early Education,1412
2014-2015,20,BEXAR COUNTY,Pre-kindergarten,16895
2014-2015,20,BEXAR COUNTY,Kindergarten,25532
2014-2015,20,BEXAR COUNTY,Grade  1,27472
2014-2015,20,BEXAR COUNTY,Grade  2,27135
2014-2015,20,BEXAR COUNTY,Grade  3,26498
2014-2015,20,BEXAR COUNTY,Grade  4,26310
2014-2015,20,BEXAR COUNTY,Grade  5,26532
2014-2015,20,BEXAR COUNTY,Grade  6,25326
2014-2015,20,BEXAR COUNTY,Grade  7,25435
2014-2015,20,BEXAR COUNTY,Grade  8,25974
2014-2015,20,BEXAR COUNTY,Grade  9,28373
2014-2015,20,BEXAR COUNTY,Grade 10,24677
2014-2015,20,BEXAR COUNTY,Grade 11,22543
2014-2015,20,BEXAR COUNTY,Grade 12,20142
2014-2015,13,BLANCO COUNTY,Early Education,13
2014-2015,13,BLANCO COUNTY,Pre-kindergarten,32
2014-2015,13,BLANCO COUNTY,Kindergarten,100
2014-2015,13,BLANCO COUNTY,Grade  1,110
2014-2015,13,BLANCO COUNTY,Grade  2,126
2014-2015,13,BLANCO COUNTY,Grade  3,120
2014-2015,13,BLANCO COUNTY,Grade  4,146
2014-2015,13,BLANCO COUNTY,Grade  5,134
2014-2015,13,BLANCO COUNTY,Grade  6,108
2014-2015,13,BLANCO COUNTY,Grade  7,143
2014-2015,13,BLANCO COUNTY,Grade  8,130
2014-2015,13,BLANCO COUNTY,Grade  9,142
2014-2015,13,BLANCO COUNTY,Grade 10,138
2014-2015,13,BLANCO COUNTY,Grade 11,121
2014-2015,13,BLANCO COUNTY,Grade 12,118
2014-2015,17,BORDEN COUNTY,Kindergarten,19
2014-2015,17,BORDEN COUNTY,Grade  1,16
2014-2015,17,BORDEN COUNTY,Grade  2,17
2014-2015,17,BORDEN COUNTY,Grade  3,21
2014-2015,17,BORDEN COUNTY,Grade  4,19
2014-2015,17,BORDEN COUNTY,Grade  5,15
2014-2015,17,BORDEN COUNTY,Grade  6,25
2014-2015,17,BORDEN COUNTY,Grade  7,24
2014-2015,17,BORDEN COUNTY,Grade  8,19
