T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,11,DENTON COUNTY/11,Grade 11,8570
2014-2015,11,DENTON COUNTY/11,Grade 12,7910
2014-2015,AL,DENTON COUNTY/ALL,Early Education,473
2014-2015,AL,DENTON COUNTY/ALL,Pre-kindergarten,3436
2014-2015,AL,DENTON COUNTY/ALL,Kindergarten,8758
2014-2015,AL,DENTON COUNTY/ALL,Grade  1,9091
2014-2015,AL,DENTON COUNTY/ALL,Grade  2,9345
2014-2015,AL,DENTON COUNTY/ALL,Grade  3,9529
2014-2015,AL,DENTON COUNTY/ALL,Grade  4,9386
2014-2015,AL,DENTON COUNTY/ALL,Grade  5,9504
2014-2015,AL,DENTON COUNTY/ALL,Grade  6,9478
2014-2015,AL,DENTON COUNTY/ALL,Grade  7,9554
2014-2015,AL,DENTON COUNTY/ALL,Grade  8,9505
2014-2015,AL,DENTON COUNTY/ALL,Grade  9,9962
2014-2015,AL,DENTON COUNTY/ALL,Grade 10,9343
2014-2015,AL,DENTON COUNTY/ALL,Grade 11,8570
2014-2015,AL,DENTON COUNTY/ALL,Grade 12,7910
2014-2015,3,DEWITT COUNTY,Early Education,20
2014-2015,3,DEWITT COUNTY,Pre-kindergarten,265
2014-2015,3,DEWITT COUNTY,Kindergarten,338
2014-2015,3,DEWITT COUNTY,Grade  1,364
2014-2015,3,DEWITT COUNTY,Grade  2,326
2014-2015,3,DEWITT COUNTY,Grade  3,343
2014-2015,3,DEWITT COUNTY,Grade  4,331
2014-2015,3,DEWITT COUNTY,Grade  5,328
2014-2015,3,DEWITT COUNTY,Grade  6,334
2014-2015,3,DEWITT COUNTY,Grade  7,368
2014-2015,3,DEWITT COUNTY,Grade  8,365
2014-2015,3,DEWITT COUNTY,Grade  9,400
2014-2015,3,DEWITT COUNTY,Grade 10,332
2014-2015,3,DEWITT COUNTY,Grade 11,291
2014-2015,3,DEWITT COUNTY,Grade 12,276
2014-2015,17,DICKENS COUNTY,Pre-kindergarten,34
2014-2015,17,DICKENS COUNTY,Kindergarten,26
2014-2015,17,DICKENS COUNTY,Grade  1,23
2014-2015,17,DICKENS COUNTY,Grade  2,20
2014-2015,17,DICKENS COUNTY,Grade  3,23
2014-2015,17,DICKENS COUNTY,Grade  4,26
2014-2015,17,DICKENS COUNTY,Grade  5,41
2014-2015,17,DICKENS COUNTY,Grade  6,20
2014-2015,17,DICKENS COUNTY,Grade  7,34
2014-2015,17,DICKENS COUNTY,Grade  8,32
2014-2015,17,DICKENS COUNTY,Grade  9,29
2014-2015,17,DICKENS COUNTY,Grade 10,31
2014-2015,17,DICKENS COUNTY,Grade 11,21
2014-2015,17,DICKENS COUNTY,Grade 12,19
2014-2015,20,DIMMIT COUNTY,Early Education,-9999999
2014-2015,20,DIMMIT COUNTY,Pre-kindergarten,117
2014-2015,20,DIMMIT COUNTY,Kindergarten,163
2014-2015,20,DIMMIT COUNTY,Grade  1,212
2014-2015,20,DIMMIT COUNTY,Grade  2,196
2014-2015,20,DIMMIT COUNTY,Grade  3,196
2014-2015,20,DIMMIT COUNTY,Grade  4,191
2014-2015,20,DIMMIT COUNTY,Grade  5,177
2014-2015,20,DIMMIT COUNTY,Grade  6,183
2014-2015,20,DIMMIT COUNTY,Grade  7,165
2014-2015,20,DIMMIT COUNTY,Grade  8,187
2014-2015,20,DIMMIT COUNTY,Grade  9,221
2014-2015,20,DIMMIT COUNTY,Grade 10,158
2014-2015,20,DIMMIT COUNTY,Grade 11,146
2014-2015,20,DIMMIT COUNTY,Grade 12,136
2014-2015,16,DONLEY COUNTY,Pre-kindergarten,36
2014-2015,16,DONLEY COUNTY,Kindergarten,52
2014-2015,16,DONLEY COUNTY,Grade  1,40
2014-2015,16,DONLEY COUNTY,Grade  2,49
2014-2015,16,DONLEY COUNTY,Grade  3,49
2014-2015,16,DONLEY COUNTY,Grade  4,41
2014-2015,16,DONLEY COUNTY,Grade  5,39
2014-2015,16,DONLEY COUNTY,Grade  6,46
2014-2015,16,DONLEY COUNTY,Grade  7,24
2014-2015,16,DONLEY COUNTY,Grade  8,43
2014-2015,16,DONLEY COUNTY,Grade  9,50
2014-2015,16,DONLEY COUNTY,Grade 10,45
2014-2015,16,DONLEY COUNTY,Grade 11,46
2014-2015,16,DONLEY COUNTY,Grade 12,33
2014-2015,2,DUVAL COUNTY,Early Education,-9999999
2014-2015,2,DUVAL COUNTY,Pre-kindergarten,120
2014-2015,2,DUVAL COUNTY,Kindergarten,219
2014-2015,2,DUVAL COUNTY,Grade  1,209
2014-2015,2,DUVAL COUNTY,Grade  2,207
2014-2015,2,DUVAL COUNTY,Grade  3,213
2014-2015,2,DUVAL COUNTY,Grade  4,175
2014-2015,2,DUVAL COUNTY,Grade  5,213
2014-2015,2,DUVAL COUNTY,Grade  6,184
2014-2015,2,DUVAL COUNTY,Grade  7,172
2014-2015,2,DUVAL COUNTY,Grade  8,181
2014-2015,2,DUVAL COUNTY,Grade  9,219
2014-2015,2,DUVAL COUNTY,Grade 10,180
2014-2015,2,DUVAL COUNTY,Grade 11,153
2014-2015,2,DUVAL COUNTY,Grade 12,146
2014-2015,14,EASTLAND COUNTY,Early Education,15
2014-2015,14,EASTLAND COUNTY,Pre-kindergarten,136
2014-2015,14,EASTLAND COUNTY,Kindergarten,227
2014-2015,14,EASTLAND COUNTY,Grade  1,205
2014-2015,14,EASTLAND COUNTY,Grade  2,218
2014-2015,14,EASTLAND COUNTY,Grade  3,237
2014-2015,14,EASTLAND COUNTY,Grade  4,216
2014-2015,14,EASTLAND COUNTY,Grade  5,218
2014-2015,14,EASTLAND COUNTY,Grade  6,205
2014-2015,14,EASTLAND COUNTY,Grade  7,221
2014-2015,14,EASTLAND COUNTY,Grade  8,210
2014-2015,14,EASTLAND COUNTY,Grade  9,220
2014-2015,14,EASTLAND COUNTY,Grade 10,213
2014-2015,14,EASTLAND COUNTY,Grade 11,199
2014-2015,14,EASTLAND COUNTY,Grade 12,177
2014-2015,18,ECTOR COUNTY,Early Education,49
2014-2015,18,ECTOR COUNTY,Pre-kindergarten,1405
2014-2015,18,ECTOR COUNTY,Kindergarten,2845
2014-2015,18,ECTOR COUNTY,Grade  1,2851
2014-2015,18,ECTOR COUNTY,Grade  2,2810
2014-2015,18,ECTOR COUNTY,Grade  3,2663
2014-2015,18,ECTOR COUNTY,Grade  4,2571
2014-2015,18,ECTOR COUNTY,Grade  5,2580
2014-2015,18,ECTOR COUNTY,Grade  6,2423
2014-2015,18,ECTOR COUNTY,Grade  7,2541
2014-2015,18,ECTOR COUNTY,Grade  8,2416
2014-2015,18,ECTOR COUNTY,Grade  9,2337
2014-2015,18,ECTOR COUNTY,Grade 10,2179
2014-2015,18,ECTOR COUNTY,Grade 11,1785
2014-2015,18,ECTOR COUNTY,Grade 12,1392
2014-2015,15,EDWARDS COUNTY,Early Education,-9999999
2014-2015,15,EDWARDS COUNTY,Pre-kindergarten,26
2014-2015,15,EDWARDS COUNTY,Kindergarten,51
2014-2015,15,EDWARDS COUNTY,Grade  1,40
2014-2015,15,EDWARDS COUNTY,Grade  2,39
2014-2015,15,EDWARDS COUNTY,Grade  3,42
2014-2015,15,EDWARDS COUNTY,Grade  4,44
2014-2015,15,EDWARDS COUNTY,Grade  5,47
2014-2015,15,EDWARDS COUNTY,Grade  6,38
2014-2015,15,EDWARDS COUNTY,Grade  7,39
2014-2015,15,EDWARDS COUNTY,Grade  8,36
2014-2015,15,EDWARDS COUNTY,Grade  9,45
2014-2015,15,EDWARDS COUNTY,Grade 10,42
2014-2015,15,EDWARDS COUNTY,Grade 11,25
2014-2015,15,EDWARDS COUNTY,Grade 12,37
2014-2015,19,EL PASO COUNTY,Early Education,853
2014-2015,19,EL PASO COUNTY,Pre-kindergarten,7265
2014-2015,19,EL PASO COUNTY,Kindergarten,12331
2014-2015,19,EL PASO COUNTY,Grade  1,13363
2014-2015,19,EL PASO COUNTY,Grade  2,13349
2014-2015,19,EL PASO COUNTY,Grade  3,12993
2014-2015,19,EL PASO COUNTY,Grade  4,12855
2014-2015,19,EL PASO COUNTY,Grade  5,13022
2014-2015,19,EL PASO COUNTY,Grade  6,12816
2014-2015,19,EL PASO COUNTY,Grade  7,12781
2014-2015,19,EL PASO COUNTY,Grade  8,13453
2014-2015,19,EL PASO COUNTY,Grade  9,15270
2014-2015,19,EL PASO COUNTY,Grade 10,13668
2014-2015,19,EL PASO COUNTY,Grade 11,12825
2014-2015,19,EL PASO COUNTY,Grade 12,12258
2014-2015,10,ELLIS COUNTY,Early Education,143
2014-2015,10,ELLIS COUNTY,Pre-kindergarten,1137
2014-2015,10,ELLIS COUNTY,Kindergarten,2279
2014-2015,10,ELLIS COUNTY,Grade  1,2488
2014-2015,10,ELLIS COUNTY,Grade  2,2501
2014-2015,10,ELLIS COUNTY,Grade  3,2498
2014-2015,10,ELLIS COUNTY,Grade  4,2507
2014-2015,10,ELLIS COUNTY,Grade  5,2523
2014-2015,10,ELLIS COUNTY,Grade  6,2520
2014-2015,10,ELLIS COUNTY,Grade  7,2572
2014-2015,10,ELLIS COUNTY,Grade  8,2567
2014-2015,10,ELLIS COUNTY,Grade  9,2836
2014-2015,10,ELLIS COUNTY,Grade 10,2581
2014-2015,10,ELLIS COUNTY,Grade 11,2301
2014-2015,10,ELLIS COUNTY,Grade 12,2199
2014-2015,11,ERATH COUNTY,Early Education,16
2014-2015,11,ERATH COUNTY,Pre-kindergarten,212
2014-2015,11,ERATH COUNTY,Kindergarten,413
2014-2015,11,ERATH COUNTY,Grade  1,422
2014-2015,11,ERATH COUNTY,Grade  2,477
2014-2015,11,ERATH COUNTY,Grade  3,473
2014-2015,11,ERATH COUNTY,Grade  4,425
2014-2015,11,ERATH COUNTY,Grade  5,420
2014-2015,11,ERATH COUNTY,Grade  6,432
2014-2015,11,ERATH COUNTY,Grade  7,449
2014-2015,11,ERATH COUNTY,Grade  8,462
2014-2015,11,ERATH COUNTY,Grade  9,1375
2014-2015,11,ERATH COUNTY,Grade 10,1339
2014-2015,11,ERATH COUNTY,Grade 11,1370
2014-2015,11,ERATH COUNTY,Grade 12,1069
2014-2015,12,FALLS COUNTY,Early Education,5
2014-2015,12,FALLS COUNTY,Pre-kindergarten,131
2014-2015,12,FALLS COUNTY,Kindergarten,175
2014-2015,12,FALLS COUNTY,Grade  1,176
2014-2015,12,FALLS COUNTY,Grade  2,188
2014-2015,12,FALLS COUNTY,Grade  3,178
2014-2015,12,FALLS COUNTY,Grade  4,157
2014-2015,12,FALLS COUNTY,Grade  5,174
2014-2015,12,FALLS COUNTY,Grade  6,152
2014-2015,12,FALLS COUNTY,Grade  7,150
2014-2015,12,FALLS COUNTY,Grade  8,160
2014-2015,12,FALLS COUNTY,Grade  9,177
2014-2015,12,FALLS COUNTY,Grade 10,111
2014-2015,12,FALLS COUNTY,Grade 11,156
2014-2015,12,FALLS COUNTY,Grade 12,141
2014-2015,10,FANNIN COUNTY,Early Education,15
2014-2015,10,FANNIN COUNTY,Pre-kindergarten,353
2014-2015,10,FANNIN COUNTY,Kindergarten,336
2014-2015,10,FANNIN COUNTY,Grade  1,403
2014-2015,10,FANNIN COUNTY,Grade  2,388
2014-2015,10,FANNIN COUNTY,Grade  3,376
2014-2015,10,FANNIN COUNTY,Grade  4,410
2014-2015,10,FANNIN COUNTY,Grade  5,390
2014-2015,10,FANNIN COUNTY,Grade  6,380
2014-2015,10,FANNIN COUNTY,Grade  7,382
2014-2015,10,FANNIN COUNTY,Grade  8,397
2014-2015,10,FANNIN COUNTY,Grade  9,398
2014-2015,10,FANNIN COUNTY,Grade 10,368
2014-2015,10,FANNIN COUNTY,Grade 11,370
2014-2015,10,FANNIN COUNTY,Grade 12,372
2014-2015,13,FAYETTE COUNTY,Early Education,27
2014-2015,13,FAYETTE COUNTY,Pre-kindergarten,140
2014-2015,13,FAYETTE COUNTY,Kindergarten,255
2014-2015,13,FAYETTE COUNTY,Grade  1,272
2014-2015,13,FAYETTE COUNTY,Grade  2,276
2014-2015,13,FAYETTE COUNTY,Grade  3,255
2014-2015,13,FAYETTE COUNTY,Grade  4,263
2014-2015,13,FAYETTE COUNTY,Grade  5,253
2014-2015,13,FAYETTE COUNTY,Grade  6,254
2014-2015,13,FAYETTE COUNTY,Grade  7,284
2014-2015,13,FAYETTE COUNTY,Grade  8,289
2014-2015,13,FAYETTE COUNTY,Grade  9,322
2014-2015,13,FAYETTE COUNTY,Grade 10,259
2014-2015,13,FAYETTE COUNTY,Grade 11,302
2014-2015,13,FAYETTE COUNTY,Grade 12,255
2014-2015,14,FISHER COUNTY,Early Education,-9999999
2014-2015,14,FISHER COUNTY,Pre-kindergarten,57
2014-2015,14,FISHER COUNTY,Kindergarten,37
2014-2015,14,FISHER COUNTY,Grade  1,41
2014-2015,14,FISHER COUNTY,Grade  2,35
2014-2015,14,FISHER COUNTY,Grade  3,40
2014-2015,14,FISHER COUNTY,Grade  4,42
2014-2015,14,FISHER COUNTY,Grade  5,32
2014-2015,14,FISHER COUNTY,Grade  6,36
2014-2015,14,FISHER COUNTY,Grade  7,39
2014-2015,14,FISHER COUNTY,Grade  8,36
2014-2015,14,FISHER COUNTY,Grade  9,37
2014-2015,14,FISHER COUNTY,Grade 10,30
2014-2015,14,FISHER COUNTY,Grade 11,36
2014-2015,14,FISHER COUNTY,Grade 12,33
2014-2015,17,FLOYD COUNTY,Early Education,6
2014-2015,17,FLOYD COUNTY,Pre-kindergarten,82
2014-2015,17,FLOYD COUNTY,Kindergarten,89
2014-2015,17,FLOYD COUNTY,Grade  1,98
2014-2015,17,FLOYD COUNTY,Grade  2,108
2014-2015,17,FLOYD COUNTY,Grade  3,105
2014-2015,17,FLOYD COUNTY,Grade  4,96
2014-2015,17,FLOYD COUNTY,Grade  5,85
2014-2015,17,FLOYD COUNTY,Grade  6,100
2014-2015,17,FLOYD COUNTY,Grade  7,61
2014-2015,17,FLOYD COUNTY,Grade  8,82
2014-2015,17,FLOYD COUNTY,Grade  9,95
2014-2015,17,FLOYD COUNTY,Grade 10,86
2014-2015,17,FLOYD COUNTY,Grade 11,95
2014-2015,17,FLOYD COUNTY,Grade 12,67
2014-2015,9,FOARD COUNTY,Early Education,-9999999
2014-2015,9,FOARD COUNTY,Pre-kindergarten,20
2014-2015,9,FOARD COUNTY,Kindergarten,14
2014-2015,9,FOARD COUNTY,Grade  1,13
2014-2015,9,FOARD COUNTY,Grade  2,10
2014-2015,9,FOARD COUNTY,Grade  3,22
2014-2015,9,FOARD COUNTY,Grade  4,14
2014-2015,9,FOARD COUNTY,Grade  5,19
2014-2015,9,FOARD COUNTY,Grade  6,17
2014-2015,9,FOARD COUNTY,Grade  7,16
2014-2015,9,FOARD COUNTY,Grade  8,14
2014-2015,9,FOARD COUNTY,Grade  9,12
2014-2015,9,FOARD COUNTY,Grade 10,14
2014-2015,9,FOARD COUNTY,Grade 11,11
2014-2015,9,FOARD COUNTY,Grade 12,15
2014-2015,4,FORT BEND COUNTY,Early Education,714
2014-2015,4,FORT BEND COUNTY,Pre-kindergarten,2209
2014-2015,4,FORT BEND COUNTY,Kindergarten,7232
2014-2015,4,FORT BEND COUNTY,Grade  1,7796
2014-2015,4,FORT BEND COUNTY,Grade  2,7834
2014-2015,4,FORT BEND COUNTY,Grade  3,7794
2014-2015,4,FORT BEND COUNTY,Grade  4,7908
2014-2015,4,FORT BEND COUNTY,Grade  5,8008
2014-2015,4,FORT BEND COUNTY,Grade  6,8249
2014-2015,4,FORT BEND COUNTY,Grade  7,8124
2014-2015,4,FORT BEND COUNTY,Grade  8,8258
2014-2015,4,FORT BEND COUNTY,Grade  9,9149
2014-2015,4,FORT BEND COUNTY,Grade 10,8215
2014-2015,4,FORT BEND COUNTY,Grade 11,7726
2014-2015,4,FORT BEND COUNTY,Grade 12,7605
2014-2015,8,FRANKLIN COUNTY,Early Education,7
2014-2015,8,FRANKLIN COUNTY,Pre-kindergarten,58
2014-2015,8,FRANKLIN COUNTY,Kindergarten,139
2014-2015,8,FRANKLIN COUNTY,Grade  1,133
2014-2015,8,FRANKLIN COUNTY,Grade  2,122
2014-2015,8,FRANKLIN COUNTY,Grade  3,126
2014-2015,8,FRANKLIN COUNTY,Grade  4,132
2014-2015,8,FRANKLIN COUNTY,Grade  5,140
2014-2015,8,FRANKLIN COUNTY,Grade  6,107
2014-2015,8,FRANKLIN COUNTY,Grade  7,135
2014-2015,8,FRANKLIN COUNTY,Grade  8,129
2014-2015,8,FRANKLIN COUNTY,Grade  9,114
2014-2015,8,FRANKLIN COUNTY,Grade 10,114
2014-2015,8,FRANKLIN COUNTY,Grade 11,100
2014-2015,8,FRANKLIN COUNTY,Grade 12,105
2014-2015,12,FREESTONE COUNTY,Early Education,-9999999
2014-2015,12,FREESTONE COUNTY,Pre-kindergarten,110
2014-2015,12,FREESTONE COUNTY,Kindergarten,266
2014-2015,12,FREESTONE COUNTY,Grade  1,306
2014-2015,12,FREESTONE COUNTY,Grade  2,308
2014-2015,12,FREESTONE COUNTY,Grade  3,301
2014-2015,12,FREESTONE COUNTY,Grade  4,268
2014-2015,12,FREESTONE COUNTY,Grade  5,274
2014-2015,12,FREESTONE COUNTY,Grade  6,281
2014-2015,12,FREESTONE COUNTY,Grade  7,275
2014-2015,12,FREESTONE COUNTY,Grade  8,292
2014-2015,12,FREESTONE COUNTY,Grade  9,308
2014-2015,12,FREESTONE COUNTY,Grade 10,269
2014-2015,12,FREESTONE COUNTY,Grade 11,230
2014-2015,12,FREESTONE COUNTY,Grade 12,209
2014-2015,20,FRIO COUNTY,Early Education,7
2014-2015,20,FRIO COUNTY,Pre-kindergarten,173
2014-2015,20,FRIO COUNTY,Kindergarten,244
2014-2015,20,FRIO COUNTY,Grade  1,305
2014-2015,20,FRIO COUNTY,Grade  2,242
2014-2015,20,FRIO COUNTY,Grade  3,265
2014-2015,20,FRIO COUNTY,Grade  4,254
2014-2015,20,FRIO COUNTY,Grade  5,232
2014-2015,20,FRIO COUNTY,Grade  6,221
2014-2015,20,FRIO COUNTY,Grade  7,257
2014-2015,20,FRIO COUNTY,Grade  8,271
2014-2015,20,FRIO COUNTY,Grade  9,318
2014-2015,20,FRIO COUNTY,Grade 10,225
2014-2015,20,FRIO COUNTY,Grade 11,212
2014-2015,20,FRIO COUNTY,Grade 12,185
2014-2015,17,GAINES COUNTY,Early Education,12
2014-2015,17,GAINES COUNTY,Pre-kindergarten,163
2014-2015,17,GAINES COUNTY,Kindergarten,289
2014-2015,17,GAINES COUNTY,Grade  1,279
2014-2015,17,GAINES COUNTY,Grade  2,282
2014-2015,17,GAINES COUNTY,Grade  3,277
2014-2015,17,GAINES COUNTY,Grade  4,272
2014-2015,17,GAINES COUNTY,Grade  5,276
2014-2015,17,GAINES COUNTY,Grade  6,276
2014-2015,17,GAINES COUNTY,Grade  7,259
2014-2015,17,GAINES COUNTY,Grade  8,255
2014-2015,17,GAINES COUNTY,Grade  9,259
2014-2015,17,GAINES COUNTY,Grade 10,242
2014-2015,17,GAINES COUNTY,Grade 11,212
2014-2015,17,GAINES COUNTY,Grade 12,202
2014-2015,4,GALVESTON COUNTY/04,Early Education,530
2014-2015,4,GALVESTON COUNTY/04,Pre-kindergarten,3225
2014-2015,4,GALVESTON COUNTY/04,Kindergarten,5802
2014-2015,4,GALVESTON COUNTY/04,Grade  1,6042
2014-2015,4,GALVESTON COUNTY/04,Grade  2,6038
2014-2015,4,GALVESTON COUNTY/04,Grade  3,5906
2014-2015,4,GALVESTON COUNTY/04,Grade  4,5754
2014-2015,4,GALVESTON COUNTY/04,Grade  5,5953
2014-2015,4,GALVESTON COUNTY/04,Grade  6,6033
2014-2015,4,GALVESTON COUNTY/04,Grade  7,6024
2014-2015,4,GALVESTON COUNTY/04,Grade  8,6016
2014-2015,4,GALVESTON COUNTY/04,Grade  9,6606
2014-2015,4,GALVESTON COUNTY/04,Grade 10,6171
2014-2015,4,GALVESTON COUNTY/04,Grade 11,5680
2014-2015,4,GALVESTON COUNTY/04,Grade 12,5495
2014-2015,5,GALVESTON COUNTY/05,Pre-kindergarten,5
2014-2015,5,GALVESTON COUNTY/05,Kindergarten,-9999999
2014-2015,5,GALVESTON COUNTY/05,Grade  1,9
2014-2015,5,GALVESTON COUNTY/05,Grade  2,-9999999
2014-2015,5,GALVESTON COUNTY/05,Grade  3,16
2014-2015,5,GALVESTON COUNTY/05,Grade  4,-9999999
2014-2015,5,GALVESTON COUNTY/05,Grade  5,15
2014-2015,5,GALVESTON COUNTY/05,Grade  6,10
2014-2015,5,GALVESTON COUNTY/05,Grade  7,13
2014-2015,5,GALVESTON COUNTY/05,Grade  8,11
2014-2015,5,GALVESTON COUNTY/05,Grade  9,14
2014-2015,5,GALVESTON COUNTY/05,Grade 10,14
2014-2015,5,GALVESTON COUNTY/05,Grade 11,17
2014-2015,5,GALVESTON COUNTY/05,Grade 12,12
2014-2015,AL,GALVESTON COUNTY/ALL,Early Education,530
2014-2015,AL,GALVESTON COUNTY/ALL,Pre-kindergarten,3230
2014-2015,AL,GALVESTON COUNTY/ALL,Kindergarten,5805
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  1,6051
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  2,6042
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  3,5922
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  4,5757
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  5,5968
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  6,6043
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  7,6037
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  8,6027
2014-2015,AL,GALVESTON COUNTY/ALL,Grade  9,6620
2014-2015,AL,GALVESTON COUNTY/ALL,Grade 10,6185
2014-2015,AL,GALVESTON COUNTY/ALL,Grade 11,5697
2014-2015,AL,GALVESTON COUNTY/ALL,Grade 12,5507
2014-2015,17,GARZA COUNTY,Early Education,-9999999
2014-2015,17,GARZA COUNTY,Pre-kindergarten,50
2014-2015,17,GARZA COUNTY,Kindergarten,90
2014-2015,17,GARZA COUNTY,Grade  1,80
2014-2015,17,GARZA COUNTY,Grade  2,86
2014-2015,17,GARZA COUNTY,Grade  3,61
2014-2015,17,GARZA COUNTY,Grade  4,63
2014-2015,17,GARZA COUNTY,Grade  5,70
2014-2015,17,GARZA COUNTY,Grade  6,81
2014-2015,17,GARZA COUNTY,Grade  7,65
2014-2015,17,GARZA COUNTY,Grade  8,71
2014-2015,17,GARZA COUNTY,Grade  9,111
2014-2015,17,GARZA COUNTY,Grade 10,93
2014-2015,17,GARZA COUNTY,Grade 11,67
2014-2015,17,GARZA COUNTY,Grade 12,64
2014-2015,13,GILLESPIE COUNTY,Early Education,21
2014-2015,13,GILLESPIE COUNTY,Pre-kindergarten,74
2014-2015,13,GILLESPIE COUNTY,Kindergarten,252
2014-2015,13,GILLESPIE COUNTY,Grade  1,273
2014-2015,13,GILLESPIE COUNTY,Grade  2,271
2014-2015,13,GILLESPIE COUNTY,Grade  3,239
2014-2015,13,GILLESPIE COUNTY,Grade  4,253
2014-2015,13,GILLESPIE COUNTY,Grade  5,269
2014-2015,13,GILLESPIE COUNTY,Grade  6,271
2014-2015,13,GILLESPIE COUNTY,Grade  7,239
2014-2015,13,GILLESPIE COUNTY,Grade  8,282
2014-2015,13,GILLESPIE COUNTY,Grade  9,311
2014-2015,13,GILLESPIE COUNTY,Grade 10,284
2014-2015,13,GILLESPIE COUNTY,Grade 11,305
2014-2015,13,GILLESPIE COUNTY,Grade 12,293
2014-2015,18,GLASSCOCK COUNTY,Early Education,-9999999
2014-2015,18,GLASSCOCK COUNTY,Pre-kindergarten,14
2014-2015,18,GLASSCOCK COUNTY,Kindergarten,26
2014-2015,18,GLASSCOCK COUNTY,Grade  1,24
2014-2015,18,GLASSCOCK COUNTY,Grade  2,19
2014-2015,18,GLASSCOCK COUNTY,Grade  3,25
2014-2015,18,GLASSCOCK COUNTY,Grade  4,28
2014-2015,18,GLASSCOCK COUNTY,Grade  5,9
2014-2015,18,GLASSCOCK COUNTY,Grade  6,23
2014-2015,18,GLASSCOCK COUNTY,Grade  7,23
2014-2015,18,GLASSCOCK COUNTY,Grade  8,25
2014-2015,18,GLASSCOCK COUNTY,Grade  9,25
2014-2015,18,GLASSCOCK COUNTY,Grade 10,18
2014-2015,18,GLASSCOCK COUNTY,Grade 11,26
2014-2015,18,GLASSCOCK COUNTY,Grade 12,22
2014-2015,3,GOLIAD COUNTY,Early Education,21
2014-2015,3,GOLIAD COUNTY,Pre-kindergarten,38
2014-2015,3,GOLIAD COUNTY,Kindergarten,105
2014-2015,3,GOLIAD COUNTY,Grade  1,105
2014-2015,3,GOLIAD COUNTY,Grade  2,111
2014-2015,3,GOLIAD COUNTY,Grade  3,88
2014-2015,3,GOLIAD COUNTY,Grade  4,93
2014-2015,3,GOLIAD COUNTY,Grade  5,109
2014-2015,3,GOLIAD COUNTY,Grade  6,115
2014-2015,3,GOLIAD COUNTY,Grade  7,104
2014-2015,3,GOLIAD COUNTY,Grade  8,121
2014-2015,3,GOLIAD COUNTY,Grade  9,95
2014-2015,3,GOLIAD COUNTY,Grade 10,108
2014-2015,3,GOLIAD COUNTY,Grade 11,97
2014-2015,3,GOLIAD COUNTY,Grade 12,98
2014-2015,13,GONZALES COUNTY,Early Education,9
2014-2015,13,GONZALES COUNTY,Pre-kindergarten,272
2014-2015,13,GONZALES COUNTY,Kindergarten,314
2014-2015,13,GONZALES COUNTY,Grade  1,327
2014-2015,13,GONZALES COUNTY,Grade  2,318
2014-2015,13,GONZALES COUNTY,Grade  3,348
2014-2015,13,GONZALES COUNTY,Grade  4,318
2014-2015,13,GONZALES COUNTY,Grade  5,331
2014-2015,13,GONZALES COUNTY,Grade  6,322
2014-2015,13,GONZALES COUNTY,Grade  7,306
2014-2015,13,GONZALES COUNTY,Grade  8,292
2014-2015,13,GONZALES COUNTY,Grade  9,312
2014-2015,13,GONZALES COUNTY,Grade 10,299
2014-2015,13,GONZALES COUNTY,Grade 11,213
2014-2015,13,GONZALES COUNTY,Grade 12,219
2014-2015,16,GRAY COUNTY,Early Education,6
2014-2015,16,GRAY COUNTY,Pre-kindergarten,234
2014-2015,16,GRAY COUNTY,Kindergarten,371
2014-2015,16,GRAY COUNTY,Grade  1,349
2014-2015,16,GRAY COUNTY,Grade  2,328
2014-2015,16,GRAY COUNTY,Grade  3,321
2014-2015,16,GRAY COUNTY,Grade  4,332
2014-2015,16,GRAY COUNTY,Grade  5,288
2014-2015,16,GRAY COUNTY,Grade  6,337
2014-2015,16,GRAY COUNTY,Grade  7,303
2014-2015,16,GRAY COUNTY,Grade  8,281
2014-2015,16,GRAY COUNTY,Grade  9,311
2014-2015,16,GRAY COUNTY,Grade 10,273
2014-2015,16,GRAY COUNTY,Grade 11,254
2014-2015,16,GRAY COUNTY,Grade 12,263
2014-2015,10,GRAYSON COUNTY,Early Education,57
2014-2015,10,GRAYSON COUNTY,Pre-kindergarten,852
2014-2015,10,GRAYSON COUNTY,Kindergarten,1679
2014-2015,10,GRAYSON COUNTY,Grade  1,1686
2014-2015,10,GRAYSON COUNTY,Grade  2,1654
2014-2015,10,GRAYSON COUNTY,Grade  3,1661
2014-2015,10,GRAYSON COUNTY,Grade  4,1618
2014-2015,10,GRAYSON COUNTY,Grade  5,1597
2014-2015,10,GRAYSON COUNTY,Grade  6,1531
2014-2015,10,GRAYSON COUNTY,Grade  7,1637
2014-2015,10,GRAYSON COUNTY,Grade  8,1683
2014-2015,10,GRAYSON COUNTY,Grade  9,1756
